"","naive_prediction"
"1","Yes"
"2","No"
"3","Yes"
"4","Yes"
"5","No"
"6","Yes"
"7","No"
"8","No"
"9","No"
"10","No"
"11","Yes"
"12","Yes"
"13","No"
"14","No"
"15","No"
"16","No"
"17","No"
"18","No"
"19","Yes"
"20","No"
"21","No"
"22","No"
"23","Yes"
"24","No"
"25","No"
"26","Yes"
"27","Yes"
"28","No"
"29","Yes"
"30","No"
"31","No"
"32","Yes"
"33","No"
"34","No"
"35","No"
"36","Yes"
"37","Yes"
"38","Yes"
"39","Yes"
"40","No"
"41","No"
"42","No"
"43","Yes"
"44","No"
"45","No"
"46","No"
"47","Yes"
"48","No"
"49","Yes"
"50","No"
"51","Yes"
"52","Yes"
"53","Yes"
"54","Yes"
"55","No"
"56","Yes"
"57","No"
"58","No"
"59","No"
"60","No"
"61","No"
"62","No"
"63","No"
"64","Yes"
"65","Yes"
"66","Yes"
"67","Yes"
"68","No"
"69","No"
"70","No"
"71","No"
"72","No"
"73","Yes"
"74","Yes"
"75","No"
"76","Yes"
"77","Yes"
"78","No"
"79","No"
"80","No"
"81","Yes"
"82","No"
"83","No"
"84","No"
"85","No"
"86","No"
"87","No"
"88","No"
"89","Yes"
"90","Yes"
"91","No"
"92","No"
"93","No"
"94","No"
"95","No"
"96","No"
"97","No"
"98","Yes"
"99","Yes"
"100","Yes"
"101","Yes"
"102","No"
"103","Yes"
"104","No"
"105","Yes"
"106","Yes"
"107","No"
"108","No"
"109","Yes"
"110","Yes"
"111","Yes"
"112","Yes"
"113","No"
"114","No"
"115","No"
"116","No"
"117","Yes"
"118","No"
"119","No"
"120","No"
"121","No"
"122","No"
"123","No"
"124","No"
"125","No"
"126","No"
"127","Yes"
"128","No"
"129","Yes"
"130","Yes"
"131","No"
"132","No"
"133","No"
"134","No"
"135","Yes"
"136","No"
"137","No"
"138","Yes"
"139","No"
"140","Yes"
"141","No"
"142","Yes"
"143","No"
"144","No"
"145","Yes"
"146","No"
"147","No"
"148","No"
"149","Yes"
"150","No"
"151","Yes"
"152","Yes"
"153","No"
"154","No"
"155","No"
"156","Yes"
"157","No"
"158","Yes"
"159","No"
"160","No"
"161","No"
"162","No"
"163","No"
"164","No"
"165","No"
"166","No"
"167","Yes"
"168","No"
"169","No"
"170","No"
"171","No"
"172","Yes"
"173","Yes"
"174","No"
"175","No"
"176","No"
"177","No"
"178","No"
"179","No"
"180","No"
"181","No"
"182","No"
"183","No"
"184","No"
"185","No"
"186","Yes"
"187","No"
"188","Yes"
"189","No"
"190","No"
"191","Yes"
"192","No"
"193","No"
"194","No"
"195","Yes"
"196","Yes"
"197","No"
"198","Yes"
"199","Yes"
"200","No"
"201","Yes"
"202","No"
"203","No"
"204","No"
"205","Yes"
"206","No"
"207","Yes"
"208","Yes"
"209","No"
"210","No"
"211","Yes"
"212","No"
"213","No"
"214","Yes"
"215","No"
"216","No"
"217","No"
"218","Yes"
"219","No"
"220","No"
"221","No"
"222","No"
"223","No"
"224","No"
"225","Yes"
"226","No"
"227","No"
"228","No"
"229","No"
"230","No"
"231","No"
"232","No"
"233","No"
"234","Yes"
"235","Yes"
"236","Yes"
"237","Yes"
"238","No"
"239","Yes"
"240","Yes"
"241","No"
"242","Yes"
"243","No"
"244","Yes"
"245","No"
"246","No"
"247","Yes"
"248","Yes"
"249","Yes"
"250","No"
"251","No"
"252","No"
"253","No"
"254","No"
"255","Yes"
"256","Yes"
"257","No"
"258","No"
"259","Yes"
"260","No"
"261","No"
"262","Yes"
"263","No"
"264","No"
"265","Yes"
"266","No"
"267","No"
"268","No"
"269","Yes"
"270","No"
"271","No"
"272","No"
"273","No"
"274","No"
"275","No"
"276","Yes"
"277","Yes"
"278","No"
"279","No"
"280","No"
"281","Yes"
"282","No"
"283","No"
"284","No"
"285","No"
"286","No"
"287","Yes"
"288","No"
"289","No"
"290","No"
"291","No"
"292","No"
"293","Yes"
"294","Yes"
"295","Yes"
"296","No"
"297","No"
"298","Yes"
"299","No"
"300","Yes"
"301","No"
"302","Yes"
"303","No"
"304","Yes"
"305","Yes"
"306","Yes"
"307","No"
"308","Yes"
"309","No"
"310","No"
"311","Yes"
"312","No"
"313","No"
"314","Yes"
"315","Yes"
"316","Yes"
"317","Yes"
"318","No"
"319","No"
"320","No"
"321","No"
"322","Yes"
"323","No"
"324","Yes"
"325","Yes"
"326","No"
"327","No"
"328","Yes"
"329","Yes"
"330","No"
"331","No"
"332","No"
"333","No"
"334","No"
"335","No"
"336","No"
"337","No"
"338","No"
"339","Yes"
"340","Yes"
"341","No"
"342","Yes"
"343","Yes"
"344","No"
"345","No"
"346","Yes"
"347","No"
"348","No"
"349","Yes"
"350","Yes"
"351","No"
"352","No"
"353","No"
"354","No"
"355","Yes"
"356","No"
"357","Yes"
"358","No"
"359","No"
"360","Yes"
"361","No"
"362","No"
"363","Yes"
"364","No"
"365","No"
"366","No"
"367","No"
"368","Yes"
"369","Yes"
"370","Yes"
"371","No"
"372","Yes"
"373","Yes"
"374","No"
"375","Yes"
"376","No"
"377","No"
"378","No"
"379","No"
"380","Yes"
"381","No"
"382","No"
"383","No"
"384","No"
"385","Yes"
"386","Yes"
"387","No"
"388","No"
"389","Yes"
"390","Yes"
"391","No"
"392","Yes"
"393","Yes"
"394","Yes"
"395","Yes"
"396","Yes"
"397","No"
"398","Yes"
"399","Yes"
"400","Yes"
"401","Yes"
"402","No"
"403","No"
"404","No"
"405","No"
"406","Yes"
"407","No"
"408","No"
"409","Yes"
"410","No"
"411","Yes"
"412","No"
"413","No"
"414","No"
"415","Yes"
"416","Yes"
"417","Yes"
"418","Yes"
"419","No"
"420","Yes"
"421","No"
"422","Yes"
"423","No"
"424","Yes"
"425","No"
"426","Yes"
"427","Yes"
"428","No"
"429","Yes"
"430","No"
"431","No"
"432","No"
"433","No"
"434","Yes"
"435","No"
"436","Yes"
"437","Yes"
"438","No"
"439","Yes"
"440","No"
"441","Yes"
"442","No"
"443","No"
"444","No"
"445","No"
"446","Yes"
"447","Yes"
"448","No"
"449","Yes"
"450","Yes"
"451","No"
"452","Yes"
"453","No"
"454","No"
"455","No"
"456","No"
"457","No"
"458","Yes"
"459","No"
"460","No"
"461","No"
"462","No"
"463","No"
"464","No"
"465","No"
"466","Yes"
"467","No"
"468","No"
"469","Yes"
"470","No"
"471","Yes"
"472","No"
"473","Yes"
"474","Yes"
"475","Yes"
"476","Yes"
"477","Yes"
"478","No"
"479","No"
"480","No"
"481","No"
"482","No"
"483","Yes"
"484","Yes"
"485","No"
"486","No"
"487","No"
"488","No"
"489","No"
"490","No"
"491","Yes"
"492","No"
"493","No"
"494","No"
"495","No"
"496","No"
"497","Yes"
"498","No"
"499","No"
"500","No"
"501","No"
"502","Yes"
"503","No"
"504","No"
"505","No"
"506","Yes"
"507","No"
"508","Yes"
"509","No"
"510","Yes"
"511","Yes"
"512","Yes"
"513","No"
"514","Yes"
"515","No"
"516","No"
"517","Yes"
"518","No"
"519","No"
"520","No"
"521","No"
"522","No"
"523","No"
"524","Yes"
"525","Yes"
"526","No"
"527","No"
"528","No"
"529","No"
"530","No"
"531","Yes"
"532","No"
"533","Yes"
"534","No"
"535","No"
"536","Yes"
"537","No"
"538","No"
"539","No"
"540","Yes"
"541","No"
"542","No"
"543","Yes"
"544","No"
"545","No"
"546","No"
"547","No"
"548","Yes"
"549","No"
"550","No"
"551","Yes"
"552","No"
"553","No"
"554","No"
"555","No"
"556","No"
"557","No"
"558","Yes"
"559","Yes"
"560","No"
"561","Yes"
"562","No"
"563","Yes"
"564","Yes"
"565","No"
"566","No"
"567","No"
"568","No"
"569","No"
"570","No"
"571","Yes"
"572","No"
"573","No"
"574","No"
"575","Yes"
"576","No"
"577","Yes"
"578","No"
"579","Yes"
"580","No"
"581","No"
"582","No"
"583","No"
"584","No"
"585","Yes"
"586","No"
"587","No"
"588","No"
"589","Yes"
"590","No"
"591","Yes"
"592","No"
"593","No"
"594","No"
"595","No"
"596","No"
"597","No"
"598","No"
"599","Yes"
"600","No"
"601","No"
"602","Yes"
"603","No"
"604","Yes"
"605","No"
"606","Yes"
"607","No"
"608","Yes"
"609","No"
"610","Yes"
"611","No"
"612","No"
"613","No"
"614","Yes"
"615","No"
"616","Yes"
"617","Yes"
"618","Yes"
"619","No"
"620","No"
"621","No"
"622","No"
"623","No"
"624","No"
"625","No"
"626","Yes"
"627","Yes"
"628","No"
"629","No"
"630","No"
"631","No"
"632","Yes"
"633","Yes"
"634","Yes"
"635","No"
"636","No"
"637","Yes"
"638","Yes"
"639","Yes"
"640","No"
"641","Yes"
"642","Yes"
"643","No"
"644","Yes"
"645","No"
"646","No"
"647","No"
"648","No"
"649","Yes"
"650","No"
"651","No"
"652","Yes"
"653","No"
"654","Yes"
"655","Yes"
"656","Yes"
"657","No"
"658","Yes"
"659","Yes"
"660","Yes"
"661","Yes"
"662","Yes"
"663","Yes"
"664","Yes"
"665","No"
"666","No"
"667","No"
"668","No"
"669","No"
"670","Yes"
"671","No"
"672","Yes"
"673","No"
"674","Yes"
"675","No"
"676","Yes"
"677","No"
"678","Yes"
"679","Yes"
"680","Yes"
"681","No"
"682","Yes"
"683","No"
"684","Yes"
"685","Yes"
"686","No"
"687","No"
"688","Yes"
"689","No"
"690","No"
"691","No"
"692","Yes"
"693","No"
"694","Yes"
"695","Yes"
"696","Yes"
"697","Yes"
"698","No"
"699","No"
"700","No"
"701","Yes"
"702","No"
"703","No"
"704","Yes"
"705","Yes"
"706","No"
"707","Yes"
"708","Yes"
"709","No"
"710","No"
"711","No"
"712","No"
"713","Yes"
"714","No"
"715","No"
"716","No"
"717","No"
"718","No"
"719","No"
"720","Yes"
"721","No"
"722","Yes"
"723","No"
"724","No"
"725","Yes"
"726","Yes"
"727","Yes"
"728","Yes"
"729","No"
"730","No"
"731","No"
"732","No"
"733","No"
"734","Yes"
"735","Yes"
"736","No"
"737","Yes"
"738","No"
"739","No"
"740","No"
"741","No"
"742","No"
"743","Yes"
"744","Yes"
"745","No"
"746","No"
"747","Yes"
"748","Yes"
"749","Yes"
"750","Yes"
"751","No"
"752","No"
"753","No"
"754","Yes"
"755","No"
"756","Yes"
"757","Yes"
"758","Yes"
"759","No"
"760","No"
"761","Yes"
"762","No"
"763","Yes"
"764","No"
"765","Yes"
"766","Yes"
"767","No"
"768","No"
"769","No"
"770","No"
"771","No"
"772","No"
"773","Yes"
"774","Yes"
"775","No"
"776","No"
"777","No"
"778","Yes"
"779","No"
"780","Yes"
"781","No"
"782","No"
"783","Yes"
"784","No"
"785","No"
"786","Yes"
"787","Yes"
"788","Yes"
"789","Yes"
"790","No"
"791","Yes"
"792","No"
"793","No"
"794","No"
"795","No"
"796","Yes"
"797","No"
"798","No"
"799","No"
"800","No"
"801","No"
"802","No"
"803","No"
"804","Yes"
"805","No"
"806","No"
"807","No"
"808","Yes"
"809","Yes"
"810","Yes"
"811","No"
"812","No"
"813","Yes"
"814","No"
"815","No"
"816","No"
"817","Yes"
"818","No"
"819","No"
"820","Yes"
"821","Yes"
"822","Yes"
"823","Yes"
"824","Yes"
"825","Yes"
"826","No"
"827","Yes"
"828","Yes"
"829","No"
"830","Yes"
"831","No"
"832","Yes"
"833","No"
"834","No"
"835","No"
"836","No"
"837","No"
"838","No"
"839","Yes"
"840","No"
"841","No"
"842","Yes"
"843","No"
"844","Yes"
"845","No"
"846","Yes"
"847","Yes"
"848","Yes"
"849","No"
"850","No"
"851","Yes"
"852","No"
"853","No"
"854","No"
"855","No"
"856","Yes"
"857","No"
"858","No"
"859","Yes"
"860","Yes"
"861","Yes"
"862","No"
"863","No"
"864","No"
"865","No"
"866","No"
"867","No"
"868","No"
"869","No"
"870","No"
"871","Yes"
"872","No"
"873","Yes"
"874","No"
"875","No"
"876","Yes"
"877","No"
"878","No"
"879","No"
"880","No"
"881","Yes"
"882","No"
"883","No"
"884","No"
"885","No"
"886","No"
"887","Yes"
"888","No"
"889","No"
"890","No"
"891","Yes"
"892","No"
"893","No"
"894","Yes"
"895","No"
"896","No"
"897","No"
"898","Yes"
"899","Yes"
"900","No"
"901","No"
"902","Yes"
"903","No"
"904","No"
"905","No"
"906","No"
"907","Yes"
"908","No"
"909","Yes"
"910","No"
"911","No"
"912","No"
"913","No"
"914","No"
"915","Yes"
"916","No"
"917","No"
"918","Yes"
"919","No"
"920","No"
"921","No"
"922","Yes"
"923","Yes"
"924","No"
"925","No"
"926","No"
"927","No"
"928","Yes"
"929","Yes"
"930","Yes"
"931","No"
"932","Yes"
"933","No"
"934","Yes"
"935","No"
"936","Yes"
"937","No"
"938","No"
"939","No"
"940","No"
"941","No"
"942","No"
"943","Yes"
"944","Yes"
"945","No"
"946","No"
"947","No"
"948","No"
"949","No"
"950","Yes"
"951","No"
"952","Yes"
"953","Yes"
"954","No"
"955","Yes"
"956","No"
"957","No"
"958","No"
"959","No"
"960","No"
"961","No"
"962","No"
"963","No"
"964","No"
"965","No"
"966","Yes"
"967","Yes"
"968","No"
"969","Yes"
"970","No"
"971","No"
"972","Yes"
"973","No"
"974","No"
"975","Yes"
"976","No"
"977","No"
"978","No"
"979","No"
"980","Yes"
"981","No"
"982","No"
"983","Yes"
"984","No"
"985","No"
"986","No"
"987","No"
"988","Yes"
"989","No"
"990","No"
"991","No"
"992","Yes"
"993","Yes"
"994","No"
"995","No"
"996","Yes"
"997","No"
"998","No"
"999","No"
"1000","No"
"1001","No"
"1002","No"
"1003","No"
"1004","No"
"1005","Yes"
"1006","No"
"1007","Yes"
"1008","Yes"
"1009","No"
"1010","No"
"1011","No"
"1012","No"
"1013","Yes"
"1014","Yes"
"1015","No"
"1016","No"
"1017","No"
"1018","Yes"
"1019","Yes"
"1020","Yes"
"1021","Yes"
"1022","Yes"
"1023","No"
"1024","Yes"
"1025","No"
"1026","No"
"1027","Yes"
"1028","Yes"
"1029","No"
"1030","Yes"
"1031","Yes"
"1032","Yes"
"1033","No"
"1034","Yes"
"1035","No"
"1036","No"
"1037","No"
"1038","Yes"
"1039","No"
"1040","No"
"1041","No"
"1042","No"
"1043","Yes"
"1044","No"
"1045","No"
"1046","Yes"
"1047","Yes"
"1048","No"
"1049","Yes"
"1050","Yes"
"1051","Yes"
"1052","Yes"
"1053","Yes"
"1054","Yes"
"1055","No"
"1056","No"
"1057","No"
"1058","No"
"1059","No"
"1060","No"
"1061","No"
"1062","No"
"1063","No"
"1064","Yes"
"1065","No"
"1066","No"
"1067","Yes"
"1068","Yes"
"1069","Yes"
"1070","No"
"1071","Yes"
"1072","No"
"1073","No"
"1074","No"
"1075","No"
"1076","Yes"
"1077","No"
"1078","No"
"1079","Yes"
"1080","No"
"1081","Yes"
"1082","No"
"1083","No"
"1084","Yes"
"1085","No"
"1086","No"
"1087","No"
"1088","No"
"1089","Yes"
"1090","Yes"
"1091","No"
"1092","No"
"1093","Yes"
"1094","No"
"1095","Yes"
"1096","No"
"1097","Yes"
"1098","No"
"1099","Yes"
"1100","No"
"1101","Yes"
"1102","No"
"1103","Yes"
"1104","Yes"
"1105","No"
"1106","No"
"1107","No"
"1108","No"
"1109","No"
"1110","No"
"1111","No"
"1112","No"
"1113","No"
"1114","No"
"1115","No"
"1116","No"
"1117","Yes"
"1118","Yes"
"1119","No"
"1120","Yes"
"1121","Yes"
"1122","Yes"
"1123","Yes"
"1124","No"
"1125","No"
"1126","No"
"1127","No"
"1128","Yes"
"1129","No"
"1130","No"
"1131","Yes"
"1132","No"
"1133","Yes"
"1134","No"
"1135","No"
"1136","No"
"1137","No"
"1138","No"
"1139","No"
"1140","Yes"
"1141","Yes"
"1142","Yes"
"1143","No"
"1144","No"
"1145","No"
"1146","Yes"
"1147","No"
"1148","Yes"
"1149","No"
"1150","Yes"
"1151","No"
"1152","No"
"1153","No"
"1154","No"
"1155","Yes"
"1156","No"
"1157","No"
"1158","Yes"
"1159","No"
"1160","No"
"1161","No"
"1162","No"
"1163","No"
"1164","Yes"
"1165","No"
"1166","No"
"1167","No"
"1168","Yes"
"1169","No"
"1170","No"
"1171","No"
"1172","Yes"
"1173","No"
"1174","Yes"
"1175","No"
"1176","No"
"1177","Yes"
"1178","Yes"
"1179","No"
"1180","No"
"1181","Yes"
"1182","No"
"1183","Yes"
"1184","No"
"1185","Yes"
"1186","No"
"1187","Yes"
"1188","Yes"
"1189","Yes"
"1190","Yes"
"1191","Yes"
"1192","No"
"1193","No"
"1194","Yes"
"1195","No"
"1196","Yes"
"1197","No"
"1198","No"
"1199","Yes"
"1200","No"
"1201","No"
"1202","No"
"1203","No"
"1204","No"
"1205","No"
"1206","Yes"
"1207","Yes"
"1208","Yes"
"1209","Yes"
"1210","No"
"1211","Yes"
"1212","Yes"
"1213","Yes"
"1214","No"
"1215","Yes"
"1216","Yes"
"1217","No"
"1218","Yes"
"1219","No"
"1220","Yes"
"1221","Yes"
"1222","Yes"
"1223","No"
"1224","Yes"
"1225","No"
"1226","Yes"
"1227","No"
"1228","No"
"1229","Yes"
"1230","No"
"1231","No"
"1232","No"
"1233","Yes"
"1234","No"
"1235","Yes"
"1236","Yes"
"1237","No"
"1238","No"
"1239","No"
"1240","No"
"1241","Yes"
"1242","No"
"1243","No"
"1244","Yes"
"1245","No"
"1246","Yes"
"1247","No"
"1248","Yes"
"1249","No"
"1250","No"
"1251","No"
"1252","No"
"1253","No"
"1254","No"
"1255","No"
"1256","No"
"1257","Yes"
"1258","No"
"1259","No"
"1260","Yes"
"1261","No"
"1262","Yes"
"1263","No"
"1264","Yes"
"1265","No"
"1266","No"
"1267","Yes"
"1268","No"
"1269","Yes"
"1270","No"
"1271","Yes"
"1272","No"
"1273","No"
"1274","No"
"1275","No"
"1276","Yes"
"1277","No"
"1278","No"
"1279","No"
"1280","No"
"1281","No"
"1282","Yes"
"1283","Yes"
"1284","No"
"1285","Yes"
"1286","No"
"1287","No"
"1288","No"
"1289","No"
"1290","No"
"1291","No"
"1292","Yes"
"1293","Yes"
"1294","No"
"1295","No"
"1296","No"
"1297","Yes"
"1298","No"
"1299","No"
"1300","Yes"
"1301","Yes"
"1302","No"
"1303","No"
"1304","No"
"1305","Yes"
"1306","No"
"1307","No"
"1308","No"
"1309","Yes"
"1310","Yes"
"1311","No"
"1312","No"
"1313","No"
"1314","Yes"
"1315","Yes"
"1316","No"
"1317","No"
"1318","Yes"
"1319","No"
"1320","No"
"1321","Yes"
"1322","No"
"1323","No"
"1324","No"
"1325","No"
"1326","No"
"1327","No"
"1328","Yes"
"1329","Yes"
"1330","Yes"
"1331","No"
"1332","No"
"1333","No"
"1334","No"
"1335","No"
"1336","No"
"1337","No"
"1338","No"
"1339","No"
"1340","Yes"
"1341","No"
"1342","No"
"1343","No"
"1344","Yes"
"1345","No"
"1346","No"
"1347","No"
"1348","No"
"1349","No"
"1350","No"
"1351","No"
"1352","No"
"1353","No"
"1354","No"
"1355","No"
"1356","Yes"
"1357","Yes"
"1358","No"
"1359","No"
"1360","Yes"
"1361","No"
"1362","No"
"1363","No"
"1364","No"
"1365","No"
"1366","No"
"1367","No"
"1368","No"
"1369","No"
"1370","No"
"1371","No"
"1372","No"
"1373","No"
"1374","No"
"1375","No"
"1376","No"
"1377","Yes"
"1378","Yes"
"1379","No"
"1380","Yes"
"1381","No"
"1382","Yes"
"1383","Yes"
"1384","No"
"1385","No"
"1386","No"
"1387","No"
"1388","Yes"
"1389","Yes"
"1390","Yes"
"1391","No"
"1392","No"
"1393","No"
"1394","No"
"1395","No"
"1396","No"
"1397","Yes"
"1398","Yes"
"1399","Yes"
"1400","Yes"
"1401","No"
"1402","Yes"
"1403","Yes"
"1404","Yes"
"1405","Yes"
"1406","No"
"1407","Yes"
"1408","No"
"1409","No"
"1410","Yes"
"1411","No"
"1412","No"
"1413","No"
"1414","No"
"1415","No"
"1416","No"
"1417","No"
"1418","Yes"
"1419","Yes"
"1420","Yes"
"1421","No"
"1422","Yes"
"1423","No"
"1424","Yes"
"1425","No"
"1426","No"
"1427","No"
"1428","Yes"
"1429","No"
"1430","Yes"
"1431","Yes"
"1432","No"
"1433","No"
"1434","Yes"
"1435","Yes"
"1436","No"
"1437","Yes"
"1438","No"
"1439","Yes"
"1440","Yes"
"1441","No"
"1442","Yes"
"1443","No"
"1444","Yes"
"1445","No"
"1446","No"
"1447","No"
"1448","No"
"1449","Yes"
"1450","No"
"1451","No"
"1452","Yes"
"1453","No"
"1454","Yes"
"1455","No"
"1456","Yes"
"1457","No"
"1458","No"
"1459","No"
"1460","Yes"
"1461","No"
"1462","Yes"
"1463","No"
"1464","No"
"1465","Yes"
