Prosper, TX,39,Cloudy/Wind,NNW 26 mph gusts to 38 mph
Purdon, TX,51,Rain Shower,NNW 24 mph gusts to 26 mph
Purmela, TX,47,Cloudy/Wind,NNW 28 mph gusts to 35 mph
Putnam, TX,40,Cloudy/Wind,NNW 22 mph gusts to 33 mph
Pyote, TX,43,Fair,NNW 17 mph gusts to 23 mph
Quail, TX,27,Clear,NNW 19 mph 
Quanah, TX,31,Fair,NNW 19 mph gusts to 23 mph
Queen City, TX,60,Cloudy,W 15 mph 
Quemado, TX,58,Partly Cloudy,NNW 19 mph 
Quinlan, TX,46,Showers in the Vicinity,NNW 25 mph gusts to 32 mph
Quitaque, TX,31,Clear,NNW 16 mph gusts to 22 mph
Quitman, TX,60,Rain,NW 17 mph 
Rainbow, TX,43,Cloudy/Wind,NNW 23 mph gusts to 36 mph
Ralls, TX,30,Clear,NNW 19 mph gusts to 27 mph
Randolph, TX,39,Cloudy/Wind,NNW 23 mph gusts to 32 mph
Ranger, TX,36,Mostly Cloudy/Wind,NNW 22 mph gusts to 34 mph
Rankin, TX,44,Cloudy,NNW 21 mph gusts to 31 mph
Ransom Canyon, TX,33,Clear,NNW 20 mph gusts to 27 mph
Ratcliff, TX,64,Rain,NW 12 mph 
Ravenna, TX,38,Cloudy/Wind,NW 21 mph gusts to 31 mph
Raymondville, TX,69,Partly Cloudy/Wind,WSW 23 mph gusts to 33 mph
Raywood, TX,66,Rain Shower,SW 15 mph 
Reagan, TX,59,Rain,NNW 18 mph 
Realitos, TX,71,Mostly Cloudy,NNW 21 mph 
Red Oak, TX,45,Cloudy/Wind,NNW 25 mph gusts to 34 mph
Red Rock, TX,65,Rain Shower,N 19 mph 
Redford, TX,57,Fair,N 13 mph gusts to 21 mph
Redwater, TX,58,Rain Shower,WNW 15 mph 
Reese AFB, TX,32,Clear,NNW 17 mph gusts to 23 mph
Refugio, TX,68,Cloudy,NW 21 mph gusts to 20 mph
Reklaw, TX,65,Cloudy,WNW 13 mph 
Rhome, TX,39,Cloudy/Wind,NNW 21 mph gusts to 34 mph
Rice, TX,49,Cloudy,NNW 23 mph gusts to 29 mph
Richards, TX,66,Light Rain,NW 17 mph 
Richardson, TX,44,Cloudy/Wind,NNW 26 mph gusts to 40 mph
Richland, TX,55,Rain,NNW 22 mph gusts to 26 mph
Richland Springs, TX,45,Cloudy/Wind,NNW 26 mph gusts to 36 mph
Richmond, TX,68,Showers in the Vicinity,WNW 21 mph 
Riesel, TX,55,Cloudy,NNW 21 mph gusts to 24 mph
Ringgold, TX,36,Cloudy,NNW 17 mph gusts to 28 mph
Rio Frio, TX,56,Mostly Cloudy,N 18 mph gusts to 18 mph
Rio Grande City, TX,73,Partly Cloudy,N 19 mph gusts to 18 mph
Rio Hondo, TX,70,Partly Cloudy/Wind,SW 25 mph gusts to 37 mph
Rio Medina, TX,62,Cloudy,NNW 20 mph 
Rio Vista, TX,44,Mostly Cloudy/Wind,NNW 26 mph gusts to 38 mph
Rising Star, TX,39,Cloudy/Wind,NNW 24 mph gusts to 37 mph
Riverside, TX,66,Rain,NW 14 mph 
Riviera, TX,71,Cloudy,NW 22 mph 
Roanoke, TX,41,Cloudy/Wind,NNW 24 mph gusts to 40 mph
Roans Prairie, TX,65,Rain Shower,NW 18 mph 
Roaring Springs, TX,31,Clear/Wind,NNW 20 mph gusts to 29 mph
Robert Lee, TX,41,Rain Shower/Wind,NNW 22 mph gusts to 32 mph
Robstown, TX,70,Cloudy,NNW 23 mph gusts to 21 mph
Roby, TX,38,Mostly Cloudy,NNW 18 mph gusts to 28 mph
Rochelle, TX,42,Cloudy/Wind,NNW 29 mph gusts to 39 mph
Rochester, TX,37,Mostly Cloudy,NNW 19 mph gusts to 28 mph
Rock Island, TX,66,Light Rain,NNW 20 mph 
Rockdale, TX,63,Cloudy,NNW 18 mph 
Rockport, TX,65,Cloudy,WNW 25 mph gusts to 16 mph
Rocksprings, TX,53,Partly Cloudy,N 19 mph gusts to 29 mph
Rockwall, TX,44,Cloudy/Wind,NNW 22 mph gusts to 35 mph
Rockwood, TX,43,Rain Shower/Wind,NNW 25 mph gusts to 39 mph
Rogers, TX,60,Cloudy,NNW 21 mph gusts to 20 mph
Roma, TX,72,Mostly Cloudy,N 19 mph 
Romayor, TX,67,Cloudy,W 12 mph 
Roosevelt, TX,48,Partly Cloudy/Wind,N 22 mph gusts to 34 mph
Ropesville, TX,33,Clear,NNW 20 mph gusts to 23 mph
Rosanky, TX,66,Cloudy,NNW 18 mph 
Roscoe, TX,37,Mostly Cloudy,NNW 17 mph gusts to 27 mph
Rosebud, TX,59,Cloudy,NNW 20 mph 
Rosenberg, TX,68,Rain Shower,WNW 20 mph 
Rosharon, TX,66,Cloudy,W 18 mph 
Ross, TX,50,Cloudy/Wind,NNW 22 mph gusts to 29 mph
Rosser, TX,47,Cloudy/Wind,NNW 24 mph gusts to 35 mph
Rosston, TX,37,Cloudy/Wind,NNW 19 mph gusts to 32 mph
Rotan, TX,38,Mostly Cloudy,NNW 20 mph gusts to 28 mph
Round Mountain, TX,58,Partly Cloudy,NNW 17 mph 
Round Rock, TX,61,Cloudy,NNW 20 mph 
Round Top, TX,67,Cloudy,NNW 19 mph 
Rowena, TX,42,Rain Shower/Wind,NNW 23 mph gusts to 35 mph
Rowlett, TX,44,Cloudy/Wind,NNW 25 mph gusts to 38 mph
Roxton, TX,43,Cloudy/Wind,NW 22 mph gusts to 26 mph
Royalty, TX,44,Partly Cloudy,NW 16 mph gusts to 24 mph
Royse City, TX,44,Cloudy/Wind,NNW 26 mph gusts to 35 mph
Rule, TX,37,Mostly Cloudy/Wind,NNW 19 mph gusts to 28 mph
Runge, TX,69,Cloudy,N 20 mph 
Rusk, TX,63,Cloudy,NW 14 mph 
Rye, TX,67,Cloudy,WSW 11 mph 
Sabinal, TX,60,Mostly Cloudy,N 21 mph 
Sabine Pass, TX,63,Cloudy,S 18 mph gusts to 18 mph
Sacul, TX,65,Rain Shower,WNW 13 mph 
Sadler, TX,36,Cloudy/Wind,NNW 20 mph gusts to 33 mph
Saint Hedwig, TX,64,Cloudy,N 19 mph 
Saint Jo, TX,35,Cloudy,NNW 19 mph gusts to 31 mph
Salado, TX,58,Cloudy,NNW 24 mph gusts to 25 mph
Salineno, TX,72,Mostly Cloudy,NNW 21 mph 
Salt Flat, TX,38,Partly Cloudy/Wind,ENE 22 mph gusts to 31 mph
Saltillo, TX,59,Rain,NW 20 mph 
Sam Norwood, TX,25,Clear,NNW 17 mph 
San Angelo, TX,43,Rain Shower/Wind,NNW 22 mph gusts to 32 mph
